zip,city,state,latitude,longitude,population
34293,Venice,FL,27.02,-82.35,33001
45503,Springfield,OH,39.97,-83.78,32999
85741,Tucson,AZ,32.33,-111.05,32998
19601,Reading,PA,40.35,-75.94,32998
94040,Mountain View,CA,37.38,-122.09,32996
93001,Ventura,CA,34.3,-119.3,32990
57702,Rapid City,SD,44.0,-103.4,32980
95341,Merced,CA,37.2,-120.5,32967
27609,Raleigh,NC,35.84,-78.63,32964
75214,Dallas,TX,32.83,-96.74,32950
91107,Pasadena,CA,34.2,-118.0,32940
28677,Statesville,NC,35.7,-80.9,32940
77090,Houston,TX,30.0,-95.45,32930
06614,Stratford,CT,41.23,-73.13,32929
76039,Euless,TX,32.86,-97.09,32925
44070,North Olmsted,OH,41.42,-81.92,32902
33040,Key West,FL,24.6,-82.2,32891
33351,Fort Lauderdale,FL,26.18,-80.27,32890
31904,Columbus,GA,32.54,-85.01,32871
94952,Petaluma,CA,38.2,-122.8,32858
21703,Frederick,MD,39.36,-77.46,32854
79707,Midland,TX,32.01,-102.2,32854
85716,Tucson,AZ,32.24,-110.92,32853
85020,Phoenix,AZ,33.57,-112.05,32850
92841,Garden Grove,CA,33.79,-117.99,32845
32812,Orlando,FL,28.49,-81.33,32844
18015,Bethlehem,PA,40.59,-75.35,32832
90062,Los Angeles,CA,34.0,-118.31,32821
00915,San Juan,PR,18.43,-66.04,32820
17050,Mechanicsburg,PA,40.25,-77.02,32815
93060,Santa Paula,CA,34.4,-119.1,32811
48073,Royal Oak,MI,42.52,-83.16,32798
03104,Manchester,NH,43.02,-71.44,32798
55311,Osseo,MN,45.12,-93.49,32788
92131,San Diego,CA,32.89,-117.05,32787
01760,Natick,MA,42.28,-71.35,32786
33710,Saint Petersburg,FL,27.79,-82.73,32780
98155,Seattle,WA,47.76,-122.31,32778
32065,Orange Park,FL,30.15,-81.81,32770
37160,Shelbyville,TN,35.5,-86.5,32744
91754,Monterey Park,CA,34.05,-118.15,32742
70605,Lake Charles,LA,30.13,-93.27,32741
02302,Brockton,MA,42.09,-71.0,32741
21213,Baltimore,MD,39.32,-76.57,32733
31601,Valdosta,GA,30.8,-83.4,32730
44145,Westlake,OH,41.44,-81.92,32729
40165,Shepherdsville,KY,38.0,-85.7,32726
92301,Adelanto,CA,34.6,-117.5,32725
48312,Sterling Heights,MI,42.56,-83.01,32720
76904,San Angelo,TX,31.3,-100.5,32718
29063,Irmo,SC,34.14,-81.2,32717
39532,Biloxi,MS,30.5,-89.0,32716
98290,Snohomish,WA,47.9,-122.0,32714
48423,Davison,MI,43.0,-83.5,32708
